/NM5/D_X,/NM5/D_Y
9.823727618196587e-14,4.527042076179454e-05
1.020497847759625e-13,4.57043370325494e-05
1.050356112416463e-13,4.603074456056738e-05
1.079560285726439e-13,4.622269501259657e-05
1.111021955099918e-13,4.62330596979091e-05
1.152280790742165e-13,4.598935973428283e-05
1.205027656098743e-13,4.552041883914723e-05
1.243457621906379e-13,4.521957489443378e-05
1.281720976770119e-13,4.504191969485924e-05
1.3272041218732e-13,4.498716381984921e-05
1.376238630037453e-13,4.501205187903684e-05
1.426981128090647e-13,4.49989068977892e-05
1.476944944528837e-13,4.488125710491304e-05
1.539641739560217e-13,4.461825377337184e-05
1.635639644032005e-13,4.420361389881704e-05
1.70634480008233e-13,4.396856849752423e-05
1.791954820862144e-13,4.374457196636283e-05
1.953015623153342e-13,4.328848582635618e-05
2.071675024082653e-13,4.292723307931587e-05
2.242197338422009e-13,4.24412375643399e-05
2.426126977181991e-13,4.197997782636176e-05
2.613381624029819e-13,4.157068225032879e-05
2.810141411415656e-13,4.1178530827991e-05
3.015048155959944e-13,4.07559239159067e-05
3.229153588787372e-13,4.027026033777429e-05
3.454352814364178e-13,3.973285024104896e-05
3.69286419454851e-13,3.916636458890208e-05
3.94872685801516e-13,3.857939736098958e-05
4.229342642758092e-13,3.796602324369453e-05
4.551172385446712e-13,3.729361978466894e-05
4.974926309604666e-13,3.638303134139984e-05
5.282284512712534e-13,3.545053078858643e-05
5.414935043461073e-13,3.475049729493264e-05
5.460766114030064e-13,3.505653973244285e-05
5.503006452028598e-13,3.580675135264872e-05
5.545790769013007e-13,3.670011456961839e-05
5.577592852952347e-13,3.723043059841753e-05
5.606156579622059e-13,3.749385417453561e-05
5.637798377470451e-13,3.752140530014658e-05
5.689482722978918e-13,3.720866555952047e-05
5.727351125336919e-13,3.690587958208175e-05
5.760484650681155e-13,3.671931287241604e-05
5.796133990516328e-13,3.666452495176383e-05
5.841250486174699e-13,3.676691063193662e-05
5.901942746188273e-13,3.69549699999777e-05
5.946744814183729e-13,3.700425025340458e-05
5.993770860527078e-13,3.692610697100775e-05
6.061129166998869e-13,3.669223244827251e-05
6.127053944380796e-13,3.648085124608049e-05
6.18723136564445e-13,3.636416010092622e-05
6.266548717309949e-13,3.62733254042026e-05
6.371831020226723e-13,3.611676866804632e-05
6.464890789212393e-13,3.592363443846396e-05
6.63689578360854e-13,3.557134725710816e-05
6.787406887455065e-13,3.530790036932755e-05
7.004935221408778e-13,3.495697325528377e-05
7.243009155699967e-13,3.460064174553071e-05
7.478612337311256e-13,3.428850591200505e-05
7.718474498545231e-13,3.400650205362282e-05
7.963152537246174e-13,3.374562569896148e-05
8.21644965821837e-13,3.349735425855098e-05
8.484849770556471e-13,3.325255079646117e-05
8.777954601839914e-13,3.300030873844098e-05
9.117204067901733e-13,3.272131384565015e-05
9.59340197159739e-13,3.234331781566326e-05
1e-12,3.202936080586759e-05
1.00100311281312e-12,3.038473409560903e-05
1.002340074675699e-12,2.665027269007523e-05
1.003670905261841e-12,2.119750116941522e-05
1.004251946417315e-12,1.835017353908985e-05
1.005107170676215e-12,1.382159435051912e-05
1.005897777598359e-12,9.431438962963482e-06
1.006630710994575e-12,5.319687494437605e-06
1.007378645578237e-12,1.21078417274018e-06
1.008133745504313e-12,-2.729429649628226e-06
1.008909531568514e-12,-6.447956732543668e-06
1.009720640095489e-12,-9.873318955823794e-06
1.010581338199864e-12,-1.289484861782156e-05
1.011517460470567e-12,-1.538160802944606e-05
1.012581180794304e-12,-1.713895481923805e-05
1.01393198892855e-12,-1.774939403024437e-05
1.014906740361224e-12,-1.712638215755495e-05
1.016210603079828e-12,-1.510021682808313e-05
1.01731208399063e-12,-1.25258459417674e-05
1.01827339505798e-12,-9.805519075396415e-06
1.01919668345655e-12,-6.934184530229156e-06
1.020087244187305e-12,-4.062965948092019e-06
1.020971939922785e-12,-1.238438953033103e-06
1.021870831264075e-12,1.484811890458156e-06
1.022797505147167e-12,4.027243874213118e-06
1.023769666605551e-12,6.303844483500745e-06
1.024812657287114e-12,8.212188890269706e-06
1.025972300755901e-12,9.615735480058858e-06
1.027362977359193e-12,1.027871043922776e-05
1.0288740693948e-12,9.821943588242565e-06
1.030560822796107e-12,8.119216232477263e-06
1.031866829076452e-12,6.152439619766472e-06
1.033023859472957e-12,4.117952834979965e-06
1.03412596745099e-12,2.079052298010671e-06
1.03519538285491e-12,1.370220516098176e-07
1.036278149996308e-12,-1.676636097195082e-06
1.037405015826633e-12,-3.297229926578214e-06
1.038609121850566e-12,-4.63813812576089e-06
1.039947606761333e-12,-5.586351028996142e-06
1.04155812194264e-12,-5.949609528806154e-06
1.043269411123627e-12,-5.486039443313207e-06
1.045210694416743e-12,-4.142883426865645e-06
1.046738011528332e-12,-2.681194461428696e-06
1.04810568815287e-12,-1.240041193223251e-06
1.049427917160119e-12,1.291275887611337e-07
1.050737675995091e-12,1.344595120468863e-06
1.052102830205858e-12,2.363713436179171e-06
1.053589997936782e-12,3.10882212238512e-06
1.055320899154714e-12,3.456447239419418e-06
1.057780571775884e-12,3.087833615399604e-06
1.060253505972101e-12,1.992708220639454e-06
1.062069505555064e-12,9.378299296787897e-07
1.063729273477351e-12,-4.267590081148252e-08
1.06534463939135e-12,-8.819377074219849e-07
1.066989308275928e-12,-1.522750801078487e-06
1.068803100883419e-12,-1.913189630859745e-06
1.071024793008469e-12,-1.931703510834278e-06
1.073108111355253e-12,-1.561740867917933e-06
1.075624583481579e-12,-8.136985234291521e-07
1.077739914232645e-12,-1.01701343022079e-07
1.079707695455408e-12,4.926449259016179e-07
1.081721710788804e-12,9.299848790076602e-07
1.083907578803814e-12,1.146849521790403e-06
1.086652143236163e-12,1.051617437812772e-06
